id,analysis_scope,user_id,intent,tag_technique,question,sql_query,rationale
3288,assessment,550138.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550138 ?,SELECT * FROM assessment_results WHERE ID = 3288;,L'analyse montre que le score PIX est 328.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3289,assessment,550143.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550143 ?,SELECT * FROM assessment_results WHERE ID = 3289;,L'analyse montre que le score PIX est 291.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3291,assessment,550144.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550144 ?,SELECT * FROM assessment_results WHERE ID = 3291;,L'analyse montre que le score PIX est 301.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3294,assessment,550145.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550145 ?,SELECT * FROM assessment_results WHERE ID = 3294;,L'analyse montre que le score PIX est 358.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3296,assessment,550129.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550129 ?,SELECT * FROM assessment_results WHERE ID = 3296;,L'analyse montre que le score PIX est 281.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3298,assessment,550176.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550176 ?,SELECT * FROM assessment_results WHERE ID = 3298;,L'analyse montre que le score PIX est 192.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3299,assessment,550148.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550148 ?,SELECT * FROM assessment_results WHERE ID = 3299;,L'analyse montre que le score PIX est 290.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3300,assessment,550159.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550159 ?,SELECT * FROM assessment_results WHERE ID = 3300;,L'analyse montre que le score PIX est 375.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
3301,assessment,550166.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 550166 ?,SELECT * FROM assessment_results WHERE ID = 3301;,L'analyse montre que le score PIX est 390.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
342,assessment,118618.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 118618 ?,SELECT * FROM assessment_results WHERE ID = 342;,L'analyse montre que le score PIX est 144.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Computed'.
343,assessment,114916.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 114916 ?,SELECT * FROM assessment_results WHERE ID = 343;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'Computed'.
349,assessment,115573.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 115573 ?,SELECT * FROM assessment_results WHERE ID = 349;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence P-MOD'.
1360,assessment,131609.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131609 ?,SELECT * FROM assessment_results WHERE ID = 1360;,L'analyse montre que le score PIX est 156.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Computed'.
1367,assessment,132152.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 132152 ?,SELECT * FROM assessment_results WHERE ID = 1367;,L'analyse montre que le score PIX est 100.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1406,assessment,132562.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 132562 ?,SELECT * FROM assessment_results WHERE ID = 1406;,L'analyse montre que le score PIX est 295.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1412,assessment,132559.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 132559 ?,SELECT * FROM assessment_results WHERE ID = 1412;,L'analyse montre que le score PIX est 298.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1413,assessment,132564.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 132564 ?,SELECT * FROM assessment_results WHERE ID = 1413;,L'analyse montre que le score PIX est 122.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1455,assessment,129154.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 129154 ?,SELECT * FROM assessment_results WHERE ID = 1455;,L'analyse montre que le score PIX est 178.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence T-ORG'.
1504,assessment,133089.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 133089 ?,SELECT * FROM assessment_results WHERE ID = 1504;,L'analyse montre que le score PIX est 100.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1556,assessment,133298.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 133298 ?,SELECT * FROM assessment_results WHERE ID = 1556;,L'analyse montre que le score PIX est 58.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1593,assessment,133829.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 133829 ?,SELECT * FROM assessment_results WHERE ID = 1593;,L'analyse montre que le score PIX est 56.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1594,assessment,133835.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 133835 ?,SELECT * FROM assessment_results WHERE ID = 1594;,L'analyse montre que le score PIX est 31.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1599,assessment,133834.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 133834 ?,SELECT * FROM assessment_results WHERE ID = 1599;,L'analyse montre que le score PIX est 54.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1602,assessment,133825.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 133825 ?,SELECT * FROM assessment_results WHERE ID = 1602;,L'analyse montre que le score PIX est 77.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1603,assessment,133846.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 133846 ?,SELECT * FROM assessment_results WHERE ID = 1603;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1647,assessment,131092.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131092 ?,SELECT * FROM assessment_results WHERE ID = 1647;,L'analyse montre que le score PIX est 0.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence D-SSENT'.
1648,assessment,131092.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131092 ?,SELECT * FROM assessment_results WHERE ID = 1648;,L'analyse montre que le score PIX est 327.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence D-SSENT'.
1649,assessment,129059.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 129059 ?,SELECT * FROM assessment_results WHERE ID = 1649;,L'analyse montre que le score PIX est 92.0 avec un statut 'error'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence D-SSENT'.
1655,assessment,131612.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131612 ?,SELECT * FROM assessment_results WHERE ID = 1655;,L'analyse montre que le score PIX est 36.0 avec un statut 'error'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence T-ORG'.
1657,assessment,131612.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131612 ?,SELECT * FROM assessment_results WHERE ID = 1657;,L'analyse montre que le score PIX est 36.0 avec un statut 'error'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence T-ORG'.
1658,assessment,131612.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131612 ?,SELECT * FROM assessment_results WHERE ID = 1658;,L'analyse montre que le score PIX est 43.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1660,assessment,131612.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131612 ?,SELECT * FROM assessment_results WHERE ID = 1660;,L'analyse montre que le score PIX est 43.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1661,assessment,131612.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131612 ?,SELECT * FROM assessment_results WHERE ID = 1661;,L'analyse montre que le score PIX est 43.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1662,assessment,131612.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131612 ?,SELECT * FROM assessment_results WHERE ID = 1662;,L'analyse montre que le score PIX est 43.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1665,assessment,131622.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131622 ?,SELECT * FROM assessment_results WHERE ID = 1665;,L'analyse montre que le score PIX est 411.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence D-SSENT'.
1717,assessment,135451.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 135451 ?,SELECT * FROM assessment_results WHERE ID = 1717;,L'analyse montre que le score PIX est 103.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1749,assessment,135580.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 135580 ?,SELECT * FROM assessment_results WHERE ID = 1749;,L'analyse montre que le score PIX est 229.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1789,assessment,131162.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 131162 ?,SELECT * FROM assessment_results WHERE ID = 1789;,L'analyse montre que le score PIX est 200.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Computed'.
1790,assessment,136870.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 136870 ?,SELECT * FROM assessment_results WHERE ID = 1790;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1791,assessment,137064.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 137064 ?,SELECT * FROM assessment_results WHERE ID = 1791;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1792,assessment,137073.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 137073 ?,SELECT * FROM assessment_results WHERE ID = 1792;,L'analyse montre que le score PIX est 197.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1821,assessment,296677.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 296677 ?,SELECT * FROM assessment_results WHERE ID = 1821;,L'analyse montre que le score PIX est 34.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1827,assessment,296681.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 296681 ?,SELECT * FROM assessment_results WHERE ID = 1827;,L'analyse montre que le score PIX est 39.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1831,assessment,296686.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 296686 ?,SELECT * FROM assessment_results WHERE ID = 1831;,L'analyse montre que le score PIX est 169.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1833,assessment,296654.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 296654 ?,SELECT * FROM assessment_results WHERE ID = 1833;,L'analyse montre que le score PIX est 72.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1847,assessment,297802.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 297802 ?,SELECT * FROM assessment_results WHERE ID = 1847;,L'analyse montre que le score PIX est 56.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1850,assessment,297783.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 297783 ?,SELECT * FROM assessment_results WHERE ID = 1850;,L'analyse montre que le score PIX est 194.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1854,assessment,297806.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 297806 ?,SELECT * FROM assessment_results WHERE ID = 1854;,L'analyse montre que le score PIX est 85.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1856,assessment,297786.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 297786 ?,SELECT * FROM assessment_results WHERE ID = 1856;,L'analyse montre que le score PIX est 105.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1869,assessment,297804.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 297804 ?,SELECT * FROM assessment_results WHERE ID = 1869;,L'analyse montre que le score PIX est 250.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1874,assessment,297787.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 297787 ?,SELECT * FROM assessment_results WHERE ID = 1874;,L'analyse montre que le score PIX est 182.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1875,assessment,299780.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299780 ?,SELECT * FROM assessment_results WHERE ID = 1875;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1876,assessment,299794.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299794 ?,SELECT * FROM assessment_results WHERE ID = 1876;,L'analyse montre que le score PIX est 101.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1877,assessment,299782.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299782 ?,SELECT * FROM assessment_results WHERE ID = 1877;,L'analyse montre que le score PIX est 37.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1880,assessment,299787.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299787 ?,SELECT * FROM assessment_results WHERE ID = 1880;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1881,assessment,299747.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299747 ?,SELECT * FROM assessment_results WHERE ID = 1881;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1882,assessment,299803.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299803 ?,SELECT * FROM assessment_results WHERE ID = 1882;,L'analyse montre que le score PIX est 151.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1884,assessment,299791.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299791 ?,SELECT * FROM assessment_results WHERE ID = 1884;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1887,assessment,299808.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299808 ?,SELECT * FROM assessment_results WHERE ID = 1887;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1889,assessment,299753.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299753 ?,SELECT * FROM assessment_results WHERE ID = 1889;,L'analyse montre que le score PIX est 188.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1904,assessment,299786.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299786 ?,SELECT * FROM assessment_results WHERE ID = 1904;,L'analyse montre que le score PIX est 174.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1905,assessment,299989.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 299989 ?,SELECT * FROM assessment_results WHERE ID = 1905;,L'analyse montre que le score PIX est 275.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1906,assessment,305642.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 305642 ?,SELECT * FROM assessment_results WHERE ID = 1906;,L'analyse montre que le score PIX est 72.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1907,assessment,306821.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 306821 ?,SELECT * FROM assessment_results WHERE ID = 1907;,L'analyse montre que le score PIX est 10.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1916,assessment,313030.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 313030 ?,SELECT * FROM assessment_results WHERE ID = 1916;,L'analyse montre que le score PIX est 144.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1922,assessment,314377.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 314377 ?,SELECT * FROM assessment_results WHERE ID = 1922;,L'analyse montre que le score PIX est 136.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1938,assessment,314374.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 314374 ?,SELECT * FROM assessment_results WHERE ID = 1938;,L'analyse montre que le score PIX est 138.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1939,assessment,314382.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 314382 ?,SELECT * FROM assessment_results WHERE ID = 1939;,L'analyse montre que le score PIX est 224.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1949,assessment,315022.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 315022 ?,SELECT * FROM assessment_results WHERE ID = 1949;,L'analyse montre que le score PIX est 239.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1967,assessment,315041.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 315041 ?,SELECT * FROM assessment_results WHERE ID = 1967;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
1968,assessment,315040.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 315040 ?,SELECT * FROM assessment_results WHERE ID = 1968;,L'analyse montre que le score PIX est 477.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1969,assessment,318452.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 318452 ?,SELECT * FROM assessment_results WHERE ID = 1969;,L'analyse montre que le score PIX est 29.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1971,assessment,318459.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 318459 ?,SELECT * FROM assessment_results WHERE ID = 1971;,L'analyse montre que le score PIX est 12.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1980,assessment,318457.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 318457 ?,SELECT * FROM assessment_results WHERE ID = 1980;,L'analyse montre que le score PIX est 62.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1983,assessment,318454.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 318454 ?,SELECT * FROM assessment_results WHERE ID = 1983;,L'analyse montre que le score PIX est 276.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1984,assessment,318463.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 318463 ?,SELECT * FROM assessment_results WHERE ID = 1984;,L'analyse montre que le score PIX est 259.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
1997,assessment,318451.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 318451 ?,SELECT * FROM assessment_results WHERE ID = 1997;,L'analyse montre que le score PIX est 165.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2001,assessment,319625.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 319625 ?,SELECT * FROM assessment_results WHERE ID = 2001;,L'analyse montre que le score PIX est 46.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2003,assessment,320129.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 320129 ?,SELECT * FROM assessment_results WHERE ID = 2003;,L'analyse montre que le score PIX est 219.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2006,assessment,320131.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 320131 ?,SELECT * FROM assessment_results WHERE ID = 2006;,L'analyse montre que le score PIX est 241.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2012,assessment,320140.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 320140 ?,SELECT * FROM assessment_results WHERE ID = 2012;,L'analyse montre que le score PIX est 134.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2014,assessment,320146.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 320146 ?,SELECT * FROM assessment_results WHERE ID = 2014;,L'analyse montre que le score PIX est 174.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2052,assessment,326262.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 326262 ?,SELECT * FROM assessment_results WHERE ID = 2052;,L'analyse montre que le score PIX est 31.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2083,assessment,326258.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 326258 ?,SELECT * FROM assessment_results WHERE ID = 2083;,L'analyse montre que le score PIX est 389.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2084,assessment,328539.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 328539 ?,SELECT * FROM assessment_results WHERE ID = 2084;,L'analyse montre que le score PIX est 97.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2085,assessment,331607.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 331607 ?,SELECT * FROM assessment_results WHERE ID = 2085;,L'analyse montre que le score PIX est 25.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2108,assessment,335073.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 335073 ?,SELECT * FROM assessment_results WHERE ID = 2108;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
2130,assessment,335528.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 335528 ?,SELECT * FROM assessment_results WHERE ID = 2130;,L'analyse montre que le score PIX est 58.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2135,assessment,335623.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 335623 ?,SELECT * FROM assessment_results WHERE ID = 2135;,L'analyse montre que le score PIX est 94.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2136,assessment,336973.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 336973 ?,SELECT * FROM assessment_results WHERE ID = 2136;,L'analyse montre que le score PIX est 101.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2138,assessment,339155.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 339155 ?,SELECT * FROM assessment_results WHERE ID = 2138;,L'analyse montre que le score PIX est 69.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2171,assessment,368367.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 368367 ?,SELECT * FROM assessment_results WHERE ID = 2171;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
2178,assessment,373035.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 373035 ?,SELECT * FROM assessment_results WHERE ID = 2178;,L'analyse montre que le score PIX est 329.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2181,assessment,373034.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 373034 ?,SELECT * FROM assessment_results WHERE ID = 2181;,L'analyse montre que le score PIX est 391.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2201,assessment,380291.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 380291 ?,SELECT * FROM assessment_results WHERE ID = 2201;,L'analyse montre que le score PIX est 115.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2212,assessment,380764.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 380764 ?,SELECT * FROM assessment_results WHERE ID = 2212;,L'analyse montre que le score PIX est 45.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2223,assessment,380791.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 380791 ?,SELECT * FROM assessment_results WHERE ID = 2223;,L'analyse montre que le score PIX est 646.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
2224,assessment,395627.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 395627 ?,SELECT * FROM assessment_results WHERE ID = 2224;,L'analyse montre que le score PIX est 0.0 avec un statut 'rejected'. Le commentaire pour le jury est : 'nan'.
2225,assessment,395619.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 395619 ?,SELECT * FROM assessment_results WHERE ID = 2225;,L'analyse montre que le score PIX est 129.0 avec un statut 'validated'. Le commentaire pour le jury est : 'nan'.
344,assessment,118620.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 118620 ?,SELECT * FROM assessment_results WHERE ID = 344;,L'analyse montre que le score PIX est 298.0 avec un statut 'validated'. Le commentaire pour le jury est : 'Computed'.
345,assessment,115749.0,assessment_result_analysis,score_evaluation,Quel est le résultat et l'évaluation de l'Assessment ID 115749 ?,SELECT * FROM assessment_results WHERE ID = 345;,L'analyse montre que le score PIX est 122.0 avec un statut 'error'. Le commentaire pour le jury est : 'Pas assez de challenges posés pour la compétence D-SSENT'.
